model,deltaT
ACCESS1-0,3.8784654
ACCESS1-3,2.3723402
BCC-CSM1-1,2.6529026
BNU-ESM,2.6842175
CCSM4,2.3003838
CESM1-BGC,2.3394651
CESM1-CAM5,2.7788651
CMCC-CESM,2.0721917
CMCC-CMS,2.8146815
CNRM-CM5,2.2944441
CSIRO-Mk3-6-0,2.4688303
CanESM2,2.811559
GFDL-CM3,3.1890483
GISS-E2-H,2.6883485
GISS-E2-R,2.0377698
HadGEM2-AO,2.4546046
HadGEM2-CC,2.8229692
HadGEM2-ES,3.1162283
INMCM4,1.3020186
IPSL-CM5A-LR,2.5440497
IPSL-CM5A-MR,2.440958
IPSL-CM5B-LR,2.2170668
MIROC-ESM,3.165854
MIROC-ESM-CHEM,3.6696258
MIROC5,2.905699
MPI-ESM-LR,1.9915202
MPI-ESM-MR,1.9455254
MRI-CGCM3,1.4999537
MRI-ESM1,1.214741
NorESM1-M,2.4977932
